#{"t_start": 1772310836.9153097, "env_id": "None"}
r,l,t
573.349647,68,2.980202
303.765884,249,4.596995
263.575727,179,5.884665
73.57583,86,6.50582
796.063741,400,9.473988
317.151617,215,11.048451
275.979887,205,12.618558
48.191741,71,13.145558
266.244676,140,14.178981
872.164784,411,17.225367
253.017241,215,18.869131
196.853801,141,19.929193
51.580578,67,20.418159
627.856529,295,22.661867
488.41042,293,24.854191
211.805704,144,25.95436
2347.922242,1081,34.033774
2272.056441,1140,42.50896
1146.668754,505,46.262046
1238.010278,686,51.370776
203.777359,530,55.268891
2512.000737,1872,69.101646
2359.128637,2351,86.415704
915.816467,1214,95.415713
-30.388941,1346,105.284913
236.933568,1173,114.01882
650.851809,463,117.460827
592.498723,375,120.260358
1683.543377,920,127.139156
897.337132,632,131.863411
246.92798,1129,140.393887
876.954429,524,144.292727
971.797835,632,148.906329
1523.252886,1257,158.322078
778.828523,553,162.438463
1533.578185,922,169.375594
127.537814,119,170.283586
1196.578313,633,175.128897
1079.613302,593,179.596635
1185.95994,848,186.068324
446.031261,477,189.772796
935.148274,1247,199.129094
1318.834129,825,205.536249
3379.482727,2742,226.526924
1060.716541,216,228.214424
1879.047077,1156,237.093146
-45.09223,2051,252.467391
2184.186179,1348,262.837461
-165.186392,136,263.830779
239.343656,175,265.118496
-155.158701,226,266.768122
111.264566,209,268.300503
190.198277,155,269.410196
171.080577,124,270.345822
1220.724201,590,274.699143
479.475895,320,277.121139
540.213543,421,280.25849
-169.75353,623,284.902517
451.8777,329,287.380691
997.804266,472,291.006204
344.357721,558,295.582854
-48.226163,780,301.410045
808.756198,550,305.582187
993.836094,614,310.288242
422.159101,303,312.636149
263.543192,302,314.933031
631.694136,353,317.564795
349.707582,247,319.419419
461.772114,348,322.03195
578.003634,494,325.818348
130.022309,247,327.74609
441.498369,691,332.855087
-66.149908,118,333.751943
577.451264,417,336.863924
581.842625,336,339.416936
399.909852,329,341.97916
126.524081,165,343.278228
142.001093,130,344.332008
955.858927,428,347.714179
94.612278,285,349.964663
1039.641197,553,354.211542
1115.909956,740,359.800939
928.301504,564,364.111912
-117.528944,82,364.733202
80.622459,91,365.39883
271.962342,154,366.549016
112.187811,110,367.367387
986.721116,570,371.581713
1221.71038,774,377.397888
228.939606,295,379.637703
552.954905,331,382.102547
91.888662,122,383.00777
487.97959,300,386.299869
668.332015,422,389.499219
-294.704367,16,389.637194
-20.3458,18,389.781157
862.423164,503,393.659625
1935.707835,921,400.695133
611.778663,457,404.176194
556.247578,394,407.080831
224.767467,335,409.575886
181.590651,186,411.022351
-148.018419,17,411.152232
2838.526901,1522,422.549455
1019.213062,672,427.637341
-118.677814,100,428.410428
1925.586067,885,435.064721
1233.551394,774,440.87192
226.284539,530,444.829963
482.170663,480,448.423958
677.699416,919,455.283497
1389.388312,1137,463.774921
2013.086024,1253,473.17652
604.017406,431,476.431122
217.627045,1678,489.823875
1971.117297,1282,499.69493
1278.255108,962,507.09574
1823.35634,1190,515.960759
3836.127496,1858,529.908639
1804.969564,1421,540.664175
394.275601,2404,558.965133
-112.208486,1393,569.434652
1741.346947,920,576.351745
1418.159216,1875,590.288176
2718.81063,2655,610.098766
3050.421799,2314,627.591126
1775.243983,1135,636.099685
1695.424439,1102,644.382592
1851.440345,1193,653.455071
1470.496502,1242,662.634031
60.916135,2565,681.923251
3609.032954,1838,695.537184
189.762593,175,696.814136
337.787806,196,698.27915
307.46851,205,699.829541
306.574079,178,701.175037
2214.453058,1170,709.826197
1319.175207,687,715.395815
126.551361,2772,735.85784
1930.692705,1286,746.606201
4393.127249,2434,764.741161
1497.044451,1881,778.759309
539.404056,364,781.487733
1834.540688,979,788.832589
-1345.316293,2433,806.80106
3543.652153,2843,827.961903
-223.625692,2081,843.47877
297.313115,284,845.654252
1547.597601,1664,857.874335
-107.908362,2042,873.19399
5391.401821,2766,894.064358
1923.142672,1825,907.668287
4837.643855,2794,928.404319
668.315196,463,931.871172
-974.932036,2950,954.159719
79.686716,60,954.618888
3956.150954,1745,967.810177
3943.962942,1986,982.584861
-363.89274,2353,1000.215327
-2289.334189,3033,1023.415749
1974.195692,1144,1031.943105
-2205.532099,2594,1051.334746
-710.77235,3025,1074.17816
-869.601553,3008,1096.941867
2280.454674,1501,1108.274755
631.791418,1356,1118.64615
1278.236769,2717,1139.225055
1368.063524,1508,1150.472969
-1596.231668,2688,1182.235117
2026.393555,2100,1198.135001
195.309036,1508,1209.55297
3114.866925,1868,1223.591675
1545.329581,1267,1233.158532
648.615996,543,1237.288085
1334.69163,661,1242.370453
328.232328,1243,1251.900553
3247.145671,1920,1267.16069
1004.413803,2815,1288.356828
2597.447061,1643,1300.825125
1495.76727,2055,1316.397772
1139.794596,1525,1328.085792
685.585741,1456,1339.290625
1575.508856,881,1346.007205
1503.16513,813,1352.386963
1736.338496,1680,1365.034242
-336.363935,2561,1395.805417
1370.608295,726,1401.268336
1317.914905,712,1406.779495
-950.203042,1536,1418.419783
499.538244,1104,1426.788957
1530.471819,885,1433.492044
1164.036653,663,1438.456738
2447.462711,1311,1448.703917
1691.54148,1138,1457.367258
2033.302169,1064,1465.450837
2648.445038,2229,1482.889207
3418.608945,2292,1500.346855
-1154.008722,2204,1517.034675
3835.954604,2087,1532.761524
81.263807,1604,1544.8539
3918.860251,2685,1565.136867
1752.982525,2436,1583.474787
3697.502165,2183,1600.080142
2225.735199,1902,1614.380679
1629.281291,1063,1622.408864
3955.448812,2966,1645.071685
1769.6175,1636,1657.696218
2550.450391,1963,1672.825422
1988.017898,1593,1684.882501
2219.571763,1792,1698.356018
2176.75143,1269,1707.760628
-918.585515,1862,1721.597564
-499.820826,1799,1735.141753
2871.497673,1544,1746.960349
2452.193015,1680,1759.79724
-2277.206608,2765,1781.104875
981.808698,733,1786.682296
-1183.003077,1843,1800.705724
2836.900301,1939,1815.367432
-387.169757,2667,1835.723864
3527.241932,2012,1851.165908
1111.009315,619,1855.902139
772.034488,482,1859.579503
2317.937119,2325,1877.308717
1094.428838,655,1882.361155
2874.345271,2066,1898.908798
2232.238083,1468,1910.113238
667.24543,469,1913.707304
1379.577755,787,1920.031677
