#{"t_start": 1772491901.549842, "env_id": "None"}
r,l,t
-17584.920504,10013,107.029423
8172.369497,3938,135.879024
538.334569,2247,152.719442
454.820466,5761,195.278392
-1914.8278,137,196.267544
80.594972,138,197.290224
-15.52971,86,197.914426
36.668412,86,198.586638
654.733646,470,202.044004
-79.876006,246,203.755141
912.518695,613,208.262808
927.593254,2094,223.95389
-184.463118,1231,233.118337
467.923652,1195,241.930692
247.607859,798,248.350244
554.210358,1899,262.445164
-371.124677,1433,273.137763
1770.466362,2597,292.51987
-2780.436905,2175,308.769408
731.432753,1805,322.286008
-1754.997486,2206,338.569689
561.380113,2893,360.112605
512.856819,944,368.124364
375.494208,601,372.567761
4642.766312,2538,391.417307
-1574.35616,1794,404.736764
-2921.185467,7253,458.070837
750.470258,164,459.304516
3423.356314,1650,471.536229
-872.812648,263,473.442239
-94.441639,94,474.164066
4337.36213,3152,497.468052
1004.949929,1468,508.217306
4085.740948,2919,529.815903
3443.785088,5957,573.556469
-1234.049801,588,577.872406
3720.140215,2201,593.962135
-1025.982252,425,597.122379
1070.651003,776,602.893119
1809.440484,1312,612.479075
-726.915298,187,613.856733
412.263865,891,620.42119
553.768541,857,626.698591
538.572591,1024,634.362375
3986.308788,3455,660.066711
808.92848,1281,669.474979
-704.443023,246,671.295181
-43.202299,105,672.093728
29.403368,86,672.73875
4009.476153,3374,697.861109
4533.858652,3011,720.875504
120.059429,1696,733.545983
554.524644,1153,742.118437
1309.258845,1539,753.473955
8051.619016,5084,791.09057
-2127.881338,606,795.597792
1641.821408,1218,804.586057
-316.955965,359,807.202536
322.812111,396,810.194155
461.224585,494,813.901271
136.503331,355,817.522359
214.275395,374,820.325657
180.687961,293,822.487617
274.685296,316,824.840295
199.081939,298,827.019458
1452.387879,886,833.634308
5434.650222,3702,861.042475
-1820.83212,638,865.775501
5418.646725,3345,890.465852
-576.124602,1249,899.826566
575.216092,892,906.477169
825.362052,872,912.95171
1780.250697,1837,926.609452
3130.060107,2745,947.073201
-782.683456,415,950.227963
1948.842367,1583,962.033131
5264.874553,3564,988.640513
-0.269521,1939,1003.205138
572.506747,1247,1012.659168
340.49364,796,1018.666201
1510.972218,1444,1029.619809
1138.25816,1278,1039.305315
51.101836,547,1043.485148
1401.657137,6410,1090.876318
660.562319,1370,1101.255553
2196.075796,1800,1114.908516
-2384.564806,6446,1162.616733
-1172.446597,363,1165.332013
2310.96602,2079,1180.672783
-367.025717,463,1184.043491
928.815623,818,1192.010234
-240.283602,223,1193.616481
-124.88307,43,1193.951767
344.134402,237,1200.062857
1263.359633,1434,1210.631605
450.118401,788,1216.436843
1050.376233,2046,1231.496951
5520.743435,5245,1270.535153
-925.510928,4258,1302.400694
375.256904,1064,1310.301464
3248.957975,2653,1330.197225
551.886775,2059,1345.210115
-458.59708,241,1347.011178
1462.726036,4981,1383.851401
1536.696458,1902,1397.641008
1265.110604,1494,1408.422664
141.411792,5448,1448.535805
496.276678,2297,1465.364654
1892.097539,5572,1506.451572
1090.441692,1611,1518.229478
2068.757662,1584,1529.860254
1064.000007,1135,1538.25583
1594.888516,1322,1548.085423
-473.159319,265,1550.024639
1222.004212,746,1557.318328
3458.42062,1809,1570.698993
-6020.231467,6281,1618.11037
2987.571866,1810,1631.539814
627.671986,1818,1644.831979
1278.64393,2266,1661.361026
2077.108422,1827,1674.726485
1792.025008,2236,1691.020196
5478.621221,4692,1725.006418
-1792.119559,2141,1740.480453
2854.139261,2614,1759.453043
-4361.252126,4324,1792.512383
410.895986,750,1797.996911
1669.33282,1712,1810.603516
535.727918,2031,1825.773772
-361.003434,5789,1869.544547
-2794.945239,2467,1888.239961
-222.273813,413,1891.267982
2423.368236,5042,1928.988592
-712.82076,765,1934.666208
3634.685318,2942,1956.658295
-3979.89896,6939,2009.081683
5342.424595,4109,2039.936957
4002.816921,3811,2068.664171
-3965.153559,3944,2098.380099
5628.32233,6190,2144.522115
4543.056331,4073,2175.151934
1720.228015,2411,2193.197961
-556.114489,762,2198.855975
-6512.06515,8717,2264.120036
1284.559675,2423,2281.891073
127.739886,368,2284.623146
213.492252,282,2289.812323
831.809464,542,2293.831722
-17.670148,238,2295.605505
248.613391,262,2297.484101
4679.384055,2503,2315.865177
-3305.657203,3109,2338.84462
4591.297193,3927,2367.682039
3655.59381,3661,2394.754751
-1277.904777,313,2397.086975
3222.869892,5381,2436.695349
-643.285725,728,2442.059227
3827.552793,4191,2472.704106
-882.915251,488,2476.313621
928.598666,718,2481.5957
-1338.568604,3406,2510.426212
-11239.344339,9626,2581.147376
-1421.05334,7062,2633.187975
-2478.141855,3060,2655.884741
2653.189171,3247,2679.821697
-199.002942,3223,2704.08535
643.134429,2888,2725.418216
50.100309,2978,2747.010354
1168.933616,2736,2766.996843
-11566.11272,11129,2849.259872
1110.239615,4098,2879.389353
1968.356202,2289,2896.14515
2074.885297,2530,2914.672634
-1374.810667,156,2915.854931
845.118074,526,2919.845035
8015.227235,5710,2963.01237
-1282.113202,3259,2987.222079
-262.256384,4162,3018.337152
281.297003,3947,3047.725805
-791.177856,2172,3063.594077
-2082.618659,11915,3154.49148
-212.713585,10894,3237.19085
-151.45326,2703,3257.244783
790.557265,1937,3271.595301
786.565014,1422,3282.228255
696.485835,1277,3291.692977
1617.170929,4960,3328.396988
578.075484,3438,3354.463097
-8657.839271,14369,3464.942881
-12722.31254,12819,3561.492407
6039.931377,3054,3584.469593
-3779.491554,5101,3622.907082
-2535.891866,5616,3664.725382
-11116.80095,9703,3739.665865
1771.061081,63,3740.132837
-11.508895,50,3740.499819
144.695359,8275,3801.521172
163.161753,2903,3822.722248
-2058.536539,6607,3871.202319
-1048.25091,652,3875.988756
-1825.483857,7357,3945.506251
-1663.530181,6982,3996.408727
-4534.10896,8789,4068.365624
1850.117218,760,4073.909417
461.407442,1189,4082.545651
406.988472,907,4089.106417
3436.835621,2392,4106.687254
5222.241326,5985,4150.730538
1072.420731,6103,4196.977575
4829.877442,3773,4224.560982
2930.835443,4217,4255.618082
-1079.019364,2170,4271.755768
-3918.96566,6885,4322.453923
2190.002671,1619,4334.467694
-1655.433991,7032,4387.253531
2570.941392,5849,4430.509426
3364.219708,4434,4463.156964
4481.373507,4023,4492.984654
1779.335762,3118,4515.875114
2827.382927,6355,4562.513066
4164.648831,3046,4584.98079
2335.87579,3078,4607.636454
4522.311138,6178,4652.855213
3409.78607,6321,4699.308273
